station ID = gr (Granada)
system = KASCAL
signal = 355, parallel, photoncounting, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
2.7375,4.5022e-06,2.4943e+07
2.7450,4.4951e-06,2.5504e+07
2.7525,4.4881e-06,2.4803e+07
2.7600,4.4811e-06,2.5538e+07
2.7675,4.4740e-06,2.4960e+07
2.7750,4.4670e-06,2.5875e+07
2.7825,4.4600e-06,2.4473e+07
2.7900,4.4531e-06,2.5040e+07
2.7975,4.4461e-06,2.4908e+07
2.8050,4.4391e-06,2.5178e+07
2.8125,4.4322e-06,2.5175e+07
2.8200,4.4253e-06,2.5024e+07
2.8275,4.4183e-06,2.4939e+07
2.8350,4.4114e-06,2.4783e+07
2.8425,4.4045e-06,2.5519e+07
2.8500,4.3977e-06,2.5021e+07
2.8575,4.3908e-06,2.5446e+07
2.8650,4.3839e-06,2.4934e+07
2.8725,4.3771e-06,2.4830e+07
2.8800,4.3703e-06,2.4934e+07
2.8875,4.3635e-06,2.4738e+07
2.8950,4.3566e-06,2.4816e+07
2.9025,4.3499e-06,2.5044e+07
2.9100,4.3431e-06,2.5000e+07
2.9175,4.3363e-06,2.4771e+07
2.9250,4.3296e-06,2.4882e+07
2.9325,4.3228e-06,2.4308e+07
2.9400,4.3161e-06,2.4797e+07
2.9475,4.3094e-06,2.4886e+07
2.9550,4.3027e-06,2.4888e+07
2.9625,4.2960e-06,2.4574e+07
2.9700,4.2893e-06,2.4634e+07
2.9775,4.2826e-06,2.4238e+07
2.9850,4.2760e-06,2.5120e+07
2.9925,4.2694e-06,2.4472e+07
3.0000,4.2627e-06,2.4417e+07
3.0075,4.2561e-06,2.4025e+07
3.0150,4.2495e-06,2.4887e+07
3.0225,4.2429e-06,2.3346e+07
3.0300,4.2363e-06,2.4176e+07
3.0375,4.2298e-06,2.4558e+07
3.0450,4.2232e-06,2.4600e+07
3.0525,4.2167e-06,2.3818e+07
3.0600,4.2101e-06,2.4069e+07
3.0675,4.2036e-06,2.4006e+07
3.0750,4.1971e-06,2.4719e+07
3.0825,4.1906e-06,2.3872e+07
3.0900,4.1841e-06,2.4241e+07
3.0975,4.1777e-06,2.4306e+07
3.1050,4.1712e-06,2.3484e+07
3.1125,4.1648e-06,2.4244e+07
3.1200,4.1583e-06,2.3677e+07
3.1275,4.1519e-06,2.3392e+07
3.1350,4.1455e-06,2.2972e+07
3.1425,4.1391e-06,2.4116e+07
3.1500,4.1327e-06,2.3186e+07
3.1575,4.1263e-06,2.4353e+07
3.1650,4.1200e-06,2.3542e+07
3.1725,4.1136e-06,2.3134e+07
3.1800,4.1073e-06,2.3399e+07
3.1875,4.1009e-06,2.3190e+07
3.1950,4.0946e-06,2.3281e+07
3.2025,4.0883e-06,2.2840e+07
3.2100,4.0820e-06,2.3684e+07
3.2175,4.0757e-06,2.3948e+07
3.2250,4.0695e-06,2.2844e+07
3.2325,4.0632e-06,2.2674e+07
3.2400,4.0569e-06,2.2875e+07
3.2475,4.0507e-06,2.3040e+07
3.2550,4.0445e-06,2.2912e+07
3.2625,4.0383e-06,2.2800e+07
3.2700,4.0321e-06,2.2951e+07
3.2775,4.0259e-06,2.2899e+07
3.2850,4.0197e-06,2.2327e+07
