station ID = GR (Granada)
system = KASCAL
signal = 355, photoncounting
date of the calibration, time = 21.08.2020, 00UTC
date of the Rayleigh measurement = 21.08.2020
GR, GT, HR, HT, K, laser polarisation rotation, system rotation y = 1.000, 1.000, 0.958, -0.958, 1.000, 0.000, -1
range,ITplus45,IRplus45,ITminus45,IRminus45,ITRayleigh,IRRayleigh
847.5000,2.9814e+01,2.2624e+01,2.9600e+01,2.4736e+01,7.1890e+01,5.2740e+01
855.0000,2.8885e+01,2.2690e+01,2.9526e+01,2.4282e+01,7.1223e+01,5.1610e+01
862.5000,2.8790e+01,2.2045e+01,2.8800e+01,2.3974e+01,6.9068e+01,5.0600e+01
870.0000,2.7976e+01,2.1646e+01,2.7867e+01,2.3148e+01,6.8199e+01,4.9664e+01
877.5000,2.7637e+01,2.1320e+01,2.7688e+01,2.2790e+01,6.6605e+01,4.8885e+01
885.0000,2.7278e+01,2.1082e+01,2.7228e+01,2.2581e+01,6.5457e+01,4.7890e+01
892.5000,2.6917e+01,2.0626e+01,2.6555e+01,2.1623e+01,6.4286e+01,4.7529e+01
900.0000,2.5786e+01,2.0211e+01,2.6294e+01,2.1717e+01,6.2934e+01,4.6128e+01
907.5000,2.5748e+01,2.0016e+01,2.5695e+01,2.1351e+01,6.1942e+01,4.5440e+01
915.0000,2.5186e+01,1.8978e+01,2.5488e+01,2.1181e+01,6.0789e+01,4.4270e+01
922.5000,2.5055e+01,1.9073e+01,2.4647e+01,2.0517e+01,5.9216e+01,4.3780e+01
930.0000,2.4460e+01,1.8912e+01,2.4528e+01,2.0082e+01,5.8375e+01,4.2503e+01
937.5000,2.4232e+01,1.8361e+01,2.4150e+01,1.9683e+01,5.7366e+01,4.1994e+01
945.0000,2.3770e+01,1.7722e+01,2.3270e+01,1.9328e+01,5.6219e+01,4.1447e+01
952.5000,2.3356e+01,1.7904e+01,2.2985e+01,1.8888e+01,5.5037e+01,4.0566e+01
960.0000,2.2487e+01,1.7431e+01,2.2567e+01,1.8824e+01,5.4415e+01,3.9818e+01
967.5000,2.1964e+01,1.6863e+01,2.2169e+01,1.8336e+01,5.3862e+01,3.9205e+01
975.0000,2.1816e+01,1.6994e+01,2.2247e+01,1.8234e+01,5.3114e+01,3.8515e+01
982.5000,2.1793e+01,1.6749e+01,2.1532e+01,1.8052e+01,5.1411e+01,3.8235e+01
990.0000,2.1229e+01,1.6410e+01,2.1347e+01,1.7656e+01,5.0837e+01,3.7236e+01
997.5000,2.1198e+01,1.5917e+01,2.0968e+01,1.7231e+01,5.0323e+01,3.7133e+01
1005.0000,2.0468e+01,1.5872e+01,2.0649e+01,1.6875e+01,4.9302e+01,3.5884e+01
1012.5000,2.0203e+01,1.5384e+01,2.0440e+01,1.6725e+01,4.7947e+01,3.5315e+01
1020.0000,1.9966e+01,1.5470e+01,2.0302e+01,1.6631e+01,4.7054e+01,3.4326e+01
1027.5000,1.9631e+01,1.4671e+01,1.9264e+01,1.6164e+01,4.5981e+01,3.4373e+01
1035.0000,1.9222e+01,1.4793e+01,1.9441e+01,1.6149e+01,4.5363e+01,3.3594e+01
1042.5000,1.9279e+01,1.4682e+01,1.9011e+01,1.5787e+01,4.4476e+01,3.2497e+01
1050.0000,1.8801e+01,1.4275e+01,1.8606e+01,1.5343e+01,4.3302e+01,3.2200e+01
1057.5000,1.8130e+01,1.4162e+01,1.8585e+01,1.5172e+01,4.3135e+01,3.1663e+01
1065.0000,1.8086e+01,1.3921e+01,1.8356e+01,1.4984e+01,4.2151e+01,3.1287e+01
1072.5000,1.8025e+01,1.3527e+01,1.7956e+01,1.4708e+01,4.1614e+01,3.0769e+01
1080.0000,1.7549e+01,1.3686e+01,1.7372e+01,1.4645e+01,3.9978e+01,3.0160e+01
1087.5000,1.7056e+01,1.2888e+01,1.7418e+01,1.4194e+01,3.9762e+01,2.9838e+01
1095.0000,1.7138e+01,1.2978e+01,1.7029e+01,1.3835e+01,3.8957e+01,2.9292e+01
1102.5000,1.6476e+01,1.2568e+01,1.6797e+01,1.3782e+01,3.8120e+01,2.8789e+01
1110.0000,1.6427e+01,1.2335e+01,1.6641e+01,1.3669e+01,3.7482e+01,2.8402e+01
1117.5000,1.6155e+01,1.2331e+01,1.6117e+01,1.3292e+01,3.6447e+01,2.7872e+01
1125.0000,1.5796e+01,1.2070e+01,1.5994e+01,1.3236e+01,3.6185e+01,2.7647e+01
1132.5000,1.5621e+01,1.2142e+01,1.5698e+01,1.3443e+01,3.5422e+01,2.6893e+01
1140.0000,1.5395e+01,1.2106e+01,1.5663e+01,1.2736e+01,3.4945e+01,2.6164e+01
1147.5000,1.5390e+01,1.1440e+01,1.5373e+01,1.2619e+01,3.3695e+01,2.6095e+01
1155.0000,1.5136e+01,1.1626e+01,1.5024e+01,1.2426e+01,3.3529e+01,2.5413e+01
1162.5000,1.4858e+01,1.1364e+01,1.4715e+01,1.2553e+01,3.2782e+01,2.4780e+01
1170.0000,1.4872e+01,1.1022e+01,1.4689e+01,1.2149e+01,3.1781e+01,2.4682e+01
1177.5000,1.4454e+01,1.1051e+01,1.4641e+01,1.2136e+01,3.1167e+01,2.4441e+01
1185.0000,1.3983e+01,1.1085e+01,1.4346e+01,1.1571e+01,3.0184e+01,2.4132e+01
1192.5000,1.3925e+01,1.0545e+01,1.4235e+01,1.1530e+01,2.9166e+01,2.3197e+01
1200.0000,1.3720e+01,1.0648e+01,1.3847e+01,1.1482e+01,2.8544e+01,2.2760e+01
1207.5000,1.3668e+01,1.0289e+01,1.3535e+01,1.1278e+01,2.7528e+01,2.2552e+01
1215.0000,1.3578e+01,1.0193e+01,1.3460e+01,1.1110e+01,2.6879e+01,2.1937e+01
1222.5000,1.3287e+01,1.0040e+01,1.3463e+01,1.0982e+01,2.6147e+01,2.1631e+01
1230.0000,1.3214e+01,9.9996e+00,1.3136e+01,1.0742e+01,2.5764e+01,2.1314e+01
1237.5000,1.3015e+01,1.0017e+01,1.3019e+01,1.0562e+01,2.5421e+01,2.0988e+01
1245.0000,1.2690e+01,9.5917e+00,1.2736e+01,1.0595e+01,2.5398e+01,2.0737e+01
1252.5000,1.2480e+01,9.6936e+00,1.2512e+01,1.0429e+01,2.4886e+01,2.0369e+01
1260.0000,1.2190e+01,9.2351e+00,1.2541e+01,1.0378e+01,2.4919e+01,2.0332e+01
1267.5000,1.2005e+01,9.3417e+00,1.2098e+01,9.9248e+00,2.4741e+01,2.0393e+01
1275.0000,1.2203e+01,9.1014e+00,1.2202e+01,9.9473e+00,2.3758e+01,1.9635e+01
1282.5000,1.2009e+01,9.2084e+00,1.1897e+01,9.7043e+00,2.3640e+01,1.9301e+01
1290.0000,1.1976e+01,9.0037e+00,1.1727e+01,9.5622e+00,2.3470e+01,1.9354e+01
1297.5000,1.1667e+01,8.7727e+00,1.1640e+01,9.6810e+00,2.3402e+01,1.8659e+01
1305.0000,1.1312e+01,8.6094e+00,1.1323e+01,9.5990e+00,2.3127e+01,1.8963e+01
1312.5000,1.1025e+01,8.6967e+00,1.1053e+01,9.1399e+00,2.2834e+01,1.8141e+01
1320.0000,1.1187e+01,8.4535e+00,1.1280e+01,9.2918e+00,2.3140e+01,1.8098e+01
1327.5000,1.0990e+01,8.3188e+00,1.0972e+01,8.9739e+00,2.2747e+01,1.8371e+01
1335.0000,1.0745e+01,8.3597e+00,1.0717e+01,9.1381e+00,2.2375e+01,1.7940e+01
1342.5000,1.0644e+01,8.2251e+00,1.0663e+01,9.0506e+00,2.1832e+01,1.7905e+01
1350.0000,1.0670e+01,8.0541e+00,1.0829e+01,8.6085e+00,2.1732e+01,1.7146e+01
1357.5000,1.0507e+01,7.8512e+00,1.0430e+01,8.7034e+00,2.1451e+01,1.7049e+01
1365.0000,1.0368e+01,7.9018e+00,1.0417e+01,8.5729e+00,2.0995e+01,1.7061e+01
1372.5000,1.0262e+01,7.8421e+00,1.0233e+01,8.3812e+00,2.0864e+01,1.6561e+01
1380.0000,9.8675e+00,7.7152e+00,9.9718e+00,8.3687e+00,2.0353e+01,1.6229e+01
1387.5000,1.0083e+01,7.7911e+00,9.8515e+00,8.0182e+00,2.0349e+01,1.6093e+01
1395.0000,9.8714e+00,7.4949e+00,9.6818e+00,8.1170e+00,1.9563e+01,1.5945e+01
1402.5000,9.8481e+00,7.4018e+00,9.7859e+00,8.1227e+00,1.9444e+01,1.6151e+01
1410.0000,9.5533e+00,7.3143e+00,9.5856e+00,7.8080e+00,1.9155e+01,1.5598e+01
1417.5000,9.7534e+00,7.0728e+00,9.4682e+00,7.7568e+00,1.8757e+01,1.5124e+01
1425.0000,9.3559e+00,7.1174e+00,9.3998e+00,7.9103e+00,1.7946e+01,1.4955e+01
1432.5000,9.2965e+00,7.1365e+00,9.4423e+00,7.6188e+00,1.7424e+01,1.4613e+01
1440.0000,9.0559e+00,6.7791e+00,9.1991e+00,7.6553e+00,1.6917e+01,1.4243e+01
1447.5000,9.1077e+00,6.9402e+00,8.9213e+00,7.6117e+00,1.6351e+01,1.4275e+01
1455.0000,8.8546e+00,6.7739e+00,8.8630e+00,7.2998e+00,1.5692e+01,1.3824e+01
1462.5000,9.0857e+00,6.6228e+00,8.8083e+00,7.3516e+00,1.5568e+01,1.3678e+01
1470.0000,8.8441e+00,6.9138e+00,8.5419e+00,7.3314e+00,1.5416e+01,1.3542e+01
1477.5000,8.7392e+00,6.7267e+00,8.5870e+00,6.9690e+00,1.5420e+01,1.3187e+01
1485.0000,8.5392e+00,6.5221e+00,8.6916e+00,7.1136e+00,1.5374e+01,1.3115e+01
1492.5000,8.4573e+00,6.3671e+00,8.4076e+00,6.8300e+00,1.5276e+01,1.3079e+01
1500.0000,8.1837e+00,6.3825e+00,8.4020e+00,6.9892e+00,1.5024e+01,1.3232e+01
1507.5000,8.0519e+00,6.3214e+00,8.2277e+00,6.8679e+00,1.5590e+01,1.2802e+01
1515.0000,8.1601e+00,6.2099e+00,8.0964e+00,6.6361e+00,1.5267e+01,1.2870e+01
1522.5000,7.8881e+00,6.0372e+00,8.0451e+00,6.7134e+00,1.5465e+01,1.2509e+01
1530.0000,8.0984e+00,5.9802e+00,7.9098e+00,6.7366e+00,1.5064e+01,1.2391e+01
1537.5000,7.7772e+00,6.1993e+00,7.8647e+00,6.4442e+00,1.5378e+01,1.2500e+01
1545.0000,7.6377e+00,5.9418e+00,7.7777e+00,6.4484e+00,1.5146e+01,1.2486e+01
1552.5000,7.7494e+00,5.9277e+00,7.8775e+00,6.4226e+00,1.5348e+01,1.2050e+01
1560.0000,7.4570e+00,5.9294e+00,7.3788e+00,6.0996e+00,1.5316e+01,1.2080e+01
1567.5000,7.5043e+00,5.7613e+00,7.4813e+00,6.3746e+00,1.5587e+01,1.1690e+01
1575.0000,7.3956e+00,5.5563e+00,7.4523e+00,6.0459e+00,1.5493e+01,1.1684e+01
1582.5000,7.5110e+00,5.8027e+00,7.1369e+00,6.0923e+00,1.5590e+01,1.1621e+01
1590.0000,7.1990e+00,5.5616e+00,7.1854e+00,5.9868e+00,1.5528e+01,1.1769e+01
1597.5000,7.0034e+00,5.6517e+00,7.2526e+00,5.9471e+00,1.5834e+01,1.1622e+01
1605.0000,7.1020e+00,5.4937e+00,7.0463e+00,5.6924e+00,1.6085e+01,1.1371e+01
1612.5000,7.0247e+00,5.4987e+00,7.1311e+00,5.9734e+00,1.6006e+01,1.1271e+01
1620.0000,6.9511e+00,5.3065e+00,7.0243e+00,5.7588e+00,1.6402e+01,1.1261e+01
1627.5000,6.9305e+00,5.2892e+00,6.8738e+00,5.6865e+00,1.6094e+01,1.1140e+01
1635.0000,6.9880e+00,5.3430e+00,6.9137e+00,5.4989e+00,1.6066e+01,1.1055e+01
1642.5000,6.6183e+00,5.2860e+00,6.6577e+00,5.6519e+00,1.6164e+01,1.0936e+01
1650.0000,6.6639e+00,5.1872e+00,6.7194e+00,5.3920e+00,1.5754e+01,1.0731e+01
1657.5000,6.4162e+00,4.9421e+00,6.5706e+00,5.5131e+00,1.5832e+01,1.0749e+01
1665.0000,6.5418e+00,4.9112e+00,6.3916e+00,5.3658e+00,1.5628e+01,1.0861e+01
1672.5000,6.3934e+00,5.1666e+00,6.4734e+00,5.4134e+00,1.5374e+01,1.0353e+01
1680.0000,6.4385e+00,4.9590e+00,6.4618e+00,5.3584e+00,1.4644e+01,1.0366e+01
1687.5000,6.4157e+00,4.8295e+00,6.4891e+00,5.2214e+00,1.4801e+01,1.0221e+01
1695.0000,6.1733e+00,4.8449e+00,6.2612e+00,5.0430e+00,1.4623e+01,1.0282e+01
1702.5000,6.3201e+00,4.8037e+00,6.3173e+00,5.1063e+00,1.4257e+01,9.7013e+00
1710.0000,6.2520e+00,4.4712e+00,6.2451e+00,5.1537e+00,1.3939e+01,9.8434e+00
1717.5000,6.1022e+00,4.5175e+00,5.9956e+00,4.8010e+00,1.3770e+01,9.6967e+00
1725.0000,6.0307e+00,4.6589e+00,6.0971e+00,4.9018e+00,1.3468e+01,9.5022e+00
1732.5000,5.9054e+00,4.5054e+00,5.9286e+00,4.9032e+00,1.3128e+01,9.1667e+00
1740.0000,5.9036e+00,4.5644e+00,5.8924e+00,4.8700e+00,1.3160e+01,9.1482e+00
1747.5000,5.7524e+00,4.4934e+00,5.8328e+00,4.9088e+00,1.2826e+01,9.1975e+00
1755.0000,5.7678e+00,4.3078e+00,5.7736e+00,4.8629e+00,1.2491e+01,8.8782e+00
1762.5000,5.5611e+00,4.4043e+00,5.6692e+00,4.8391e+00,1.2053e+01,8.8964e+00
1770.0000,5.5994e+00,4.5193e+00,5.5275e+00,4.5943e+00,1.1703e+01,8.8369e+00
1777.5000,5.6051e+00,4.1478e+00,5.5032e+00,4.6863e+00,1.1316e+01,8.4831e+00
1785.0000,5.6069e+00,4.2646e+00,5.5118e+00,4.5974e+00,1.0958e+01,8.5518e+00
1792.5000,5.4869e+00,4.1771e+00,5.4003e+00,4.3746e+00,1.0381e+01,8.1439e+00
1800.0000,5.3032e+00,4.2787e+00,5.3687e+00,4.4982e+00,1.0239e+01,8.3077e+00
1807.5000,5.2565e+00,4.1186e+00,5.2017e+00,4.3060e+00,9.6948e+00,7.8744e+00
1815.0000,5.2599e+00,4.1549e+00,5.1846e+00,4.3891e+00,9.0396e+00,7.7022e+00
1822.5000,5.2944e+00,3.9287e+00,5.2288e+00,4.4811e+00,8.1449e+00,7.7573e+00
1830.0000,5.2028e+00,3.9607e+00,5.2952e+00,4.3147e+00,7.9149e+00,7.4034e+00
1837.5000,5.0525e+00,3.9541e+00,5.2219e+00,4.3145e+00,7.4657e+00,7.3596e+00
1845.0000,5.0991e+00,3.9248e+00,5.0703e+00,4.2187e+00,6.6979e+00,7.0436e+00
1852.5000,4.8764e+00,3.8426e+00,4.9550e+00,4.1585e+00,6.1971e+00,6.9306e+00
1860.0000,4.8917e+00,3.8084e+00,4.9336e+00,4.0554e+00,5.4970e+00,6.7869e+00
1867.5000,4.9973e+00,3.7261e+00,4.8887e+00,4.0612e+00,5.3026e+00,6.6334e+00
1875.0000,4.8950e+00,3.7982e+00,4.9663e+00,4.0212e+00,5.0716e+00,6.4752e+00
1882.5000,4.7693e+00,3.6714e+00,4.8543e+00,4.0583e+00,4.8942e+00,6.4428e+00
