station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
1102.5000,1.4659e+06,1.6522e+06,1.0456e+06,1.2909e+06,355xsa
1110.0000,1.4583e+06,1.6459e+06,1.0089e+06,1.3022e+06,355xsa
1117.5000,1.4508e+06,1.6105e+06,1.0341e+06,1.3247e+06,355xsa
1125.0000,1.4802e+06,1.6215e+06,1.0125e+06,1.3064e+06,355xsa
1132.5000,1.4682e+06,1.6092e+06,9.9749e+05,1.2852e+06,355xsa
1140.0000,1.4248e+06,1.6450e+06,1.0364e+06,1.2860e+06,355xsa
1147.5000,1.4217e+06,1.6471e+06,1.0112e+06,1.2999e+06,355xsa
1155.0000,1.4613e+06,1.6472e+06,1.0097e+06,1.2801e+06,355xsa
1162.5000,1.4306e+06,1.5990e+06,1.0025e+06,1.2613e+06,355xsa
1170.0000,1.4284e+06,1.6008e+06,9.8704e+05,1.2676e+06,355xsa
1177.5000,1.4427e+06,1.5756e+06,1.0082e+06,1.2674e+06,355xsa
1185.0000,1.4615e+06,1.5789e+06,1.0072e+06,1.2542e+06,355xsa
1192.5000,1.4317e+06,1.5972e+06,1.0479e+06,1.2561e+06,355xsa
1200.0000,1.4518e+06,1.6063e+06,9.9365e+05,1.2390e+06,355xsa
1207.5000,1.4163e+06,1.5522e+06,9.7992e+05,1.2643e+06,355xsa
1215.0000,1.4205e+06,1.5760e+06,9.7853e+05,1.2320e+06,355xsa
1222.5000,1.4033e+06,1.6311e+06,9.8978e+05,1.2281e+06,355xsa
1230.0000,1.4494e+06,1.5933e+06,9.9330e+05,1.2643e+06,355xsa
1237.5000,1.4078e+06,1.5943e+06,1.0075e+06,1.2361e+06,355xsa
1245.0000,1.4175e+06,1.5660e+06,1.0099e+06,1.2383e+06,355xsa
1252.5000,1.4098e+06,1.5718e+06,9.8606e+05,1.2317e+06,355xsa
1260.0000,1.4133e+06,1.5622e+06,9.4254e+05,1.2106e+06,355xsa
1267.5000,1.4349e+06,1.5741e+06,9.7677e+05,1.2291e+06,355xsa
1275.0000,1.4183e+06,1.5374e+06,1.0019e+06,1.2295e+06,355xsa
1282.5000,1.3722e+06,1.5192e+06,9.7138e+05,1.2192e+06,355xsa
1290.0000,1.3895e+06,1.5119e+06,9.6501e+05,1.2367e+06,355xsa
1297.5000,1.3768e+06,1.5056e+06,9.8026e+05,1.2338e+06,355xsa
1305.0000,1.3709e+06,1.5451e+06,9.8527e+05,1.2383e+06,355xsa
1312.5000,1.3673e+06,1.5330e+06,9.5004e+05,1.2244e+06,355xsa
1320.0000,1.3542e+06,1.5209e+06,9.4623e+05,1.1888e+06,355xsa
1327.5000,1.3384e+06,1.5081e+06,9.7278e+05,1.2447e+06,355xsa
1335.0000,1.3344e+06,1.4945e+06,9.5113e+05,1.2289e+06,355xsa
1342.5000,1.3561e+06,1.5343e+06,9.3570e+05,1.1767e+06,355xsa
1350.0000,1.3566e+06,1.4925e+06,9.3655e+05,1.1898e+06,355xsa
1357.5000,1.3689e+06,1.5367e+06,9.3581e+05,1.1750e+06,355xsa
1365.0000,1.3554e+06,1.4875e+06,9.3109e+05,1.1766e+06,355xsa
1372.5000,1.3604e+06,1.5142e+06,9.1217e+05,1.1837e+06,355xsa
1380.0000,1.3638e+06,1.5196e+06,9.3901e+05,1.1341e+06,355xsa
1387.5000,1.3371e+06,1.4644e+06,9.2726e+05,1.1666e+06,355xsa
1395.0000,1.3430e+06,1.4482e+06,9.2914e+05,1.1397e+06,355xsa
1402.5000,1.3434e+06,1.4653e+06,9.0356e+05,1.1553e+06,355xsa
1410.0000,1.3505e+06,1.4413e+06,8.9816e+05,1.1478e+06,355xsa
1417.5000,1.3270e+06,1.4658e+06,9.2728e+05,1.1158e+06,355xsa
1425.0000,1.3443e+06,1.4733e+06,9.2618e+05,1.1340e+06,355xsa
1432.5000,1.3160e+06,1.4684e+06,8.7239e+05,1.1549e+06,355xsa
1440.0000,1.2854e+06,1.4211e+06,8.8900e+05,1.1571e+06,355xsa
1447.5000,1.3043e+06,1.4327e+06,9.0595e+05,1.1084e+06,355xsa
1455.0000,1.3148e+06,1.4844e+06,8.6730e+05,1.1560e+06,355xsa
1462.5000,1.2481e+06,1.4671e+06,8.7691e+05,1.1663e+06,355xsa
1470.0000,1.2770e+06,1.4112e+06,8.7729e+05,1.1063e+06,355xsa
1477.5000,1.2454e+06,1.4191e+06,8.9862e+05,1.1271e+06,355xsa
1485.0000,1.2510e+06,1.4709e+06,9.2876e+05,1.1543e+06,355xsa
1492.5000,1.2572e+06,1.4365e+06,8.6525e+05,1.1246e+06,355xsa
1500.0000,1.2145e+06,1.4129e+06,8.7976e+05,1.0965e+06,355xsa
1507.5000,1.2637e+06,1.4425e+06,8.7949e+05,1.1013e+06,355xsa
1515.0000,1.2973e+06,1.4048e+06,8.5972e+05,1.1092e+06,355xsa
1522.5000,1.2562e+06,1.3646e+06,8.6762e+05,1.1130e+06,355xsa
1530.0000,1.2532e+06,1.4040e+06,8.6207e+05,1.0870e+06,355xsa
1537.5000,1.2646e+06,1.4175e+06,8.8825e+05,1.1302e+06,355xsa
1545.0000,1.2502e+06,1.4376e+06,8.5641e+05,1.0914e+06,355xsa
1552.5000,1.2542e+06,1.4147e+06,8.4261e+05,1.0693e+06,355xsa
1560.0000,1.2538e+06,1.3855e+06,8.3543e+05,1.0935e+06,355xsa
1567.5000,1.2400e+06,1.3799e+06,8.5364e+05,1.0784e+06,355xsa
1575.0000,1.2469e+06,1.3620e+06,8.3652e+05,1.0996e+06,355xsa
1582.5000,1.2455e+06,1.3434e+06,8.6055e+05,1.0872e+06,355xsa
1590.0000,1.2656e+06,1.3556e+06,8.7078e+05,1.1037e+06,355xsa
1597.5000,1.2480e+06,1.3977e+06,8.5852e+05,1.0833e+06,355xsa
1605.0000,1.2666e+06,1.4198e+06,8.6416e+05,1.0954e+06,355xsa
1612.5000,1.1819e+06,1.3557e+06,8.5824e+05,1.0904e+06,355xsa
1620.0000,1.2154e+06,1.3615e+06,8.3449e+05,1.0325e+06,355xsa
1627.5000,1.2671e+06,1.3556e+06,8.6584e+05,1.0539e+06,355xsa
1635.0000,1.2323e+06,1.3785e+06,8.5917e+05,1.0439e+06,355xsa
1642.5000,1.1816e+06,1.3701e+06,8.0234e+05,1.1106e+06,355xsa
1650.0000,1.2209e+06,1.3394e+06,8.6283e+05,1.0645e+06,355xsa
1657.5000,1.2550e+06,1.3660e+06,8.4108e+05,1.0468e+06,355xsa
