station ID = gr (Granada)
system = VELETA
signal = 355, parallel, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
2032.5000,5.0376e+05,4.5966e+05,5.1160e+05,5.4454e+05,355xpa
2040.0000,5.0438e+05,4.4317e+05,4.8267e+05,5.7296e+05,355xpa
2047.5000,4.9460e+05,4.8764e+05,5.0242e+05,6.0432e+05,355xpa
2055.0000,5.1197e+05,5.0853e+05,4.9495e+05,5.8585e+05,355xpa
2062.5000,5.2003e+05,4.4781e+05,4.7492e+05,6.1017e+05,355xpa
2070.0000,5.0044e+05,4.6327e+05,4.9697e+05,5.6002e+05,355xpa
2077.5000,4.8916e+05,4.3460e+05,4.7220e+05,5.8325e+05,355xpa
2085.0000,4.6927e+05,4.5307e+05,4.9271e+05,5.5815e+05,355xpa
2092.5000,5.0871e+05,4.4788e+05,4.8483e+05,5.7375e+05,355xpa
2100.0000,5.2731e+05,4.5587e+05,4.7576e+05,5.7906e+05,355xpa
2107.5000,5.1212e+05,4.6260e+05,4.8202e+05,5.5115e+05,355xpa
2115.0000,4.7545e+05,4.4740e+05,4.7258e+05,5.6190e+05,355xpa
2122.5000,4.9791e+05,4.2371e+05,4.8937e+05,5.6757e+05,355xpa
2130.0000,4.8437e+05,4.3978e+05,4.8761e+05,5.7681e+05,355xpa
2137.5000,4.8066e+05,4.6611e+05,4.5961e+05,6.0179e+05,355xpa
2145.0000,4.7047e+05,4.6564e+05,4.5676e+05,5.5908e+05,355xpa
2152.5000,4.8602e+05,4.5399e+05,4.8006e+05,6.0822e+05,355xpa
2160.0000,5.1139e+05,4.2870e+05,5.0428e+05,5.9476e+05,355xpa
2167.5000,5.0173e+05,4.4537e+05,4.5923e+05,5.4747e+05,355xpa
2175.0000,4.8709e+05,4.4012e+05,4.7123e+05,5.5046e+05,355xpa
2182.5000,4.9449e+05,4.2880e+05,4.8434e+05,5.5701e+05,355xpa
2190.0000,4.7466e+05,4.5824e+05,4.5208e+05,5.6556e+05,355xpa
2197.5000,4.7039e+05,4.3504e+05,4.7498e+05,5.5799e+05,355xpa
2205.0000,4.9107e+05,4.2961e+05,4.7510e+05,5.3742e+05,355xpa
2212.5000,4.9640e+05,4.5875e+05,4.7253e+05,5.3842e+05,355xpa
2220.0000,5.0111e+05,4.5652e+05,4.7774e+05,5.5611e+05,355xpa
2227.5000,4.7155e+05,4.4330e+05,4.9005e+05,5.2591e+05,355xpa
2235.0000,4.6559e+05,4.3258e+05,4.8049e+05,5.3470e+05,355xpa
2242.5000,4.4946e+05,4.5219e+05,4.7844e+05,5.3796e+05,355xpa
2250.0000,4.6122e+05,4.3480e+05,4.6569e+05,5.5014e+05,355xpa
2257.5000,4.5238e+05,4.0834e+05,4.8072e+05,5.5416e+05,355xpa
2265.0000,4.8512e+05,4.4044e+05,4.5558e+05,5.4307e+05,355xpa
2272.5000,4.8677e+05,4.0976e+05,4.8048e+05,5.3634e+05,355xpa
2280.0000,4.6550e+05,4.4876e+05,4.6533e+05,5.6966e+05,355xpa
2287.5000,4.6484e+05,4.1111e+05,4.7638e+05,5.4983e+05,355xpa
2295.0000,4.7610e+05,4.1756e+05,4.8022e+05,5.3077e+05,355xpa
2302.5000,4.6215e+05,4.2497e+05,4.7492e+05,5.7773e+05,355xpa
2310.0000,4.9627e+05,4.4257e+05,4.6681e+05,5.3123e+05,355xpa
2317.5000,4.8257e+05,4.1869e+05,4.4527e+05,5.3778e+05,355xpa
2325.0000,4.4558e+05,4.5255e+05,4.6703e+05,5.6306e+05,355xpa
2332.5000,4.5879e+05,4.0882e+05,4.1547e+05,5.5324e+05,355xpa
2340.0000,4.4059e+05,4.4968e+05,4.4060e+05,5.3584e+05,355xpa
2347.5000,4.6658e+05,4.2979e+05,4.2868e+05,5.2676e+05,355xpa
2355.0000,4.5772e+05,3.9927e+05,4.7051e+05,5.3108e+05,355xpa
2362.5000,4.6877e+05,3.7458e+05,4.6898e+05,5.1990e+05,355xpa
2370.0000,4.8146e+05,4.2150e+05,4.3655e+05,5.1692e+05,355xpa
2377.5000,5.1267e+05,4.1766e+05,4.4641e+05,5.0162e+05,355xpa
2385.0000,4.5057e+05,4.1394e+05,4.6446e+05,5.1038e+05,355xpa
2392.5000,4.4545e+05,4.1442e+05,4.6855e+05,5.0991e+05,355xpa
2400.0000,4.5547e+05,3.9867e+05,4.3303e+05,5.1721e+05,355xpa
2407.5000,4.7129e+05,4.1020e+05,4.5853e+05,5.1927e+05,355xpa
2415.0000,4.7660e+05,4.0426e+05,4.6534e+05,4.9741e+05,355xpa
2422.5000,4.5351e+05,4.0678e+05,4.6367e+05,5.2079e+05,355xpa
