station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
885.0000,4.2498e+07,4.8434e+07,3.2108e+07,4.1383e+07,355xsp
892.5000,4.2772e+07,4.8719e+07,3.1888e+07,4.2793e+07,355xsp
900.0000,4.2931e+07,4.8347e+07,3.1450e+07,4.1099e+07,355xsp
907.5000,4.1854e+07,4.8735e+07,3.1626e+07,4.1679e+07,355xsp
915.0000,4.1788e+07,4.8866e+07,3.1448e+07,4.2394e+07,355xsp
922.5000,4.1570e+07,4.8710e+07,3.0856e+07,4.2210e+07,355xsp
930.0000,4.2494e+07,4.8536e+07,3.1229e+07,4.2292e+07,355xsp
937.5000,4.1836e+07,4.8174e+07,3.1607e+07,4.1151e+07,355xsp
945.0000,4.2015e+07,4.6512e+07,3.1075e+07,4.1768e+07,355xsp
952.5000,4.2126e+07,4.7517e+07,3.2005e+07,4.1269e+07,355xsp
960.0000,4.2286e+07,4.6158e+07,3.1466e+07,4.1622e+07,355xsp
967.5000,4.1168e+07,4.7511e+07,3.1137e+07,4.0721e+07,355xsp
975.0000,4.1493e+07,4.6673e+07,3.1243e+07,4.0634e+07,355xsp
982.5000,4.1874e+07,4.7369e+07,3.0578e+07,4.0529e+07,355xsp
990.0000,4.2152e+07,4.6635e+07,3.0361e+07,4.0687e+07,355xsp
997.5000,4.1777e+07,4.6473e+07,3.1057e+07,4.0017e+07,355xsp
1005.0000,4.2642e+07,4.7336e+07,3.1015e+07,4.1302e+07,355xsp
1012.5000,4.1513e+07,4.7238e+07,3.0003e+07,3.9992e+07,355xsp
1020.0000,4.0809e+07,4.6431e+07,3.0533e+07,4.1017e+07,355xsp
1027.5000,4.1179e+07,4.7130e+07,3.0611e+07,4.1112e+07,355xsp
1035.0000,4.0772e+07,4.6156e+07,3.1330e+07,4.0102e+07,355xsp
1042.5000,4.1550e+07,4.6691e+07,3.0789e+07,3.9941e+07,355xsp
1050.0000,4.0028e+07,4.6340e+07,3.0179e+07,4.1596e+07,355xsp
1057.5000,4.0744e+07,4.5439e+07,3.0683e+07,4.0187e+07,355xsp
1065.0000,4.0886e+07,4.5781e+07,2.9672e+07,4.0145e+07,355xsp
1072.5000,4.1125e+07,4.6384e+07,3.0412e+07,3.9869e+07,355xsp
1080.0000,3.9572e+07,4.7252e+07,3.0243e+07,4.0671e+07,355xsp
1087.5000,4.0448e+07,4.6748e+07,2.9794e+07,4.0160e+07,355xsp
1095.0000,4.0227e+07,4.6696e+07,2.9319e+07,3.9876e+07,355xsp
1102.5000,3.9862e+07,4.5216e+07,2.9923e+07,3.9686e+07,355xsp
1110.0000,4.0220e+07,4.6126e+07,2.9781e+07,3.9294e+07,355xsp
1117.5000,4.1429e+07,4.4902e+07,3.0304e+07,3.9610e+07,355xsp
1125.0000,4.0146e+07,4.4872e+07,3.0899e+07,3.9564e+07,355xsp
1132.5000,4.0474e+07,4.5367e+07,3.0682e+07,3.8786e+07,355xsp
1140.0000,3.9599e+07,4.5128e+07,2.9575e+07,3.9856e+07,355xsp
1147.5000,3.9829e+07,4.5254e+07,2.9233e+07,3.9073e+07,355xsp
1155.0000,3.9476e+07,4.5377e+07,2.9283e+07,3.8459e+07,355xsp
1162.5000,3.9279e+07,4.5851e+07,2.9543e+07,3.8897e+07,355xsp
1170.0000,4.0055e+07,4.5376e+07,2.9653e+07,3.9323e+07,355xsp
1177.5000,4.0061e+07,4.5672e+07,2.9417e+07,3.8661e+07,355xsp
1185.0000,3.9455e+07,4.5021e+07,2.9958e+07,3.8404e+07,355xsp
1192.5000,3.9232e+07,4.5304e+07,2.9461e+07,3.8612e+07,355xsp
1200.0000,4.0814e+07,4.4733e+07,2.8164e+07,3.7846e+07,355xsp
