station ID = gr (Granada)
system = VELETA
signal = 387, total, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
1155.0000,-5.4236e-01,-2.5988e-01,-5.7626e-01,-6.7795e-01,387xta
1162.5000,-5.4943e-01,-2.6327e-01,-5.8377e-01,-6.8678e-01,387xta
1170.0000,-5.5654e-01,-2.6668e-01,-5.9132e-01,-6.9567e-01,387xta
1177.5000,-5.6370e-01,-2.7011e-01,-5.9893e-01,-7.0462e-01,387xta
1185.0000,-5.7090e-01,-2.7356e-01,-6.0658e-01,-7.1363e-01,387xta
1192.5000,-5.7815e-01,1.9249e+02,-6.1429e-01,-7.2269e-01,387xta
1200.0000,-5.8545e-01,1.4612e+02,-6.2204e-01,-7.3181e-01,387xta
1207.5000,-5.9279e-01,-2.8404e-01,-6.2984e-01,-7.4098e-01,387xta
1215.0000,-6.0017e-01,-2.8758e-01,-6.3768e-01,-7.5022e-01,387xta
1222.5000,-6.0761e-01,-2.9114e-01,-6.4558e-01,-7.5951e-01,387xta
1230.0000,-6.1508e-01,-2.9473e-01,-6.5353e-01,-7.6886e-01,387xta
1237.5000,-6.2261e-01,-2.9833e-01,-6.6152e-01,-7.7826e-01,387xta
1245.0000,-6.3018e-01,-3.0196e-01,-6.6956e-01,-7.8772e-01,387xta
1252.5000,-6.3779e-01,-3.0561e-01,-6.7766e-01,-7.9724e-01,387xta
1260.0000,-6.4545e-01,-3.0928e-01,5.3116e+01,-8.0682e-01,387xta
1267.5000,-6.5316e-01,-3.1297e-01,-6.9398e-01,-8.1645e-01,387xta
1275.0000,-6.6091e-01,-3.1669e-01,-7.0222e-01,-8.2614e-01,387xta
1282.5000,-6.6871e-01,-3.2042e-01,-7.1051e-01,-8.3589e-01,387xta
1290.0000,-6.7656e-01,-3.2418e-01,-7.1884e-01,-8.4570e-01,387xta
1297.5000,-6.8445e-01,-3.2796e-01,-7.2722e-01,-8.5556e-01,387xta
1305.0000,-6.9238e-01,-3.3177e-01,-7.3566e-01,-8.6548e-01,387xta
1312.5000,-7.0036e-01,-3.3559e-01,-7.4414e-01,-8.7545e-01,387xta
1320.0000,-7.0839e-01,-3.3944e-01,-7.5266e-01,-8.8549e-01,387xta
1327.5000,-7.1646e-01,-3.4331e-01,-7.6124e-01,-8.9558e-01,387xta
1335.0000,-7.2458e-01,-3.4720e-01,-7.6987e-01,-9.0573e-01,387xta
1342.5000,-7.3275e-01,-3.5111e-01,-7.7854e-01,-9.1593e-01,387xta
1350.0000,-7.4096e-01,-3.5504e-01,-7.8727e-01,-9.2619e-01,387xta
1357.5000,-7.4921e-01,-3.5900e-01,-7.9604e-01,-9.3651e-01,387xta
1365.0000,-7.5751e-01,-3.6297e-01,-8.0486e-01,-9.4689e-01,387xta
1372.5000,-7.6586e-01,-3.6697e-01,-8.1373e-01,-9.5732e-01,387xta
1380.0000,-7.7425e-01,-3.7100e-01,-8.2264e-01,-9.6782e-01,387xta
1387.5000,-7.8269e-01,-3.7504e-01,-8.3161e-01,-9.7836e-01,387xta
1395.0000,-7.9118e-01,-3.7911e-01,-8.4062e-01,-9.8897e-01,387xta
1402.5000,-7.9971e-01,-3.8319e-01,-8.4969e-01,-9.9963e-01,387xta
1410.0000,-8.0828e-01,-3.8730e-01,-8.5880e-01,-1.0104e+00,387xta
1417.5000,-8.1690e-01,-3.9143e-01,-8.6796e-01,-1.0211e+00,387xta
1425.0000,-8.2557e-01,-3.9559e-01,-8.7717e-01,-1.0320e+00,387xta
1432.5000,-8.3428e-01,-3.9976e-01,-8.8643e-01,-1.0429e+00,387xta
1440.0000,-8.4304e-01,-4.0396e-01,-8.9573e-01,-1.0538e+00,387xta
1447.5000,-8.5185e-01,-4.0818e-01,-9.0509e-01,-1.0648e+00,387xta
1455.0000,-8.6070e-01,-4.1242e-01,-9.1449e-01,-1.0759e+00,387xta
1462.5000,-8.6959e-01,-4.1668e-01,-9.2394e-01,-1.0870e+00,387xta
1470.0000,-8.7854e-01,-4.2096e-01,-9.3344e-01,-1.0982e+00,387xta
1477.5000,-8.8752e-01,-4.2527e-01,-9.4299e-01,-1.1094e+00,387xta
1485.0000,-8.9656e-01,-4.2960e-01,-9.5259e-01,-1.1207e+00,387xta
1492.5000,-9.0564e-01,-4.3395e-01,-9.6224e-01,-1.1320e+00,387xta
1500.0000,-9.1476e-01,-4.3832e-01,-9.7193e-01,-1.1434e+00,387xta
1507.5000,-9.2393e-01,-4.4272e-01,-9.8168e-01,-1.1549e+00,387xta
1515.0000,-9.3315e-01,-4.4713e-01,-9.9147e-01,-1.1664e+00,387xta
1522.5000,-9.4241e-01,-4.5157e-01,-1.0013e+00,-1.1780e+00,387xta
1530.0000,-9.5172e-01,-4.5603e-01,-1.0112e+00,-1.1896e+00,387xta
1537.5000,-9.6107e-01,-4.6051e-01,-1.0211e+00,-1.2013e+00,387xta
1545.0000,-9.7047e-01,-4.6502e-01,-1.0311e+00,-1.2131e+00,387xta
1552.5000,-9.7991e-01,-4.6954e-01,-1.0412e+00,-1.2249e+00,387xta
1560.0000,-9.8940e-01,-4.7409e-01,-1.0512e+00,-1.2368e+00,387xta
1567.5000,-9.9894e-01,-4.7866e-01,-1.0614e+00,-1.2487e+00,387xta
1575.0000,-1.0085e+00,-4.8325e-01,-1.0716e+00,-1.2607e+00,387xta
1582.5000,-1.0182e+00,-4.8786e-01,-1.0818e+00,-1.2727e+00,387xta
1590.0000,-1.0278e+00,-4.9250e-01,-1.0921e+00,-1.2848e+00,387xta
1597.5000,-1.0375e+00,-4.9716e-01,-1.1024e+00,-1.2969e+00,387xta
1605.0000,-1.0473e+00,-5.0184e-01,-1.1128e+00,-1.3091e+00,387xta
1612.5000,-1.0571e+00,-5.0654e-01,-1.1232e+00,-1.3214e+00,387xta
1620.0000,-1.0670e+00,-5.1126e-01,-1.1337e+00,-1.3337e+00,387xta
1627.5000,-1.0769e+00,-5.1600e-01,-1.1442e+00,-1.3461e+00,387xta
1635.0000,-1.0868e+00,-5.2077e-01,-1.1548e+00,-1.3585e+00,387xta
1642.5000,-1.0968e+00,-5.2556e-01,-1.1654e+00,-1.3710e+00,387xta
1650.0000,-1.1069e+00,-5.3037e-01,-1.1760e+00,-1.3836e+00,387xta
1657.5000,-1.1169e+00,-5.3520e-01,-1.1868e+00,-1.3962e+00,387xta
1665.0000,-1.1271e+00,-5.4006e-01,-1.1975e+00,-1.4088e+00,387xta
1672.5000,-1.1373e+00,-5.4493e-01,-1.2083e+00,-1.4216e+00,387xta
1680.0000,-1.1475e+00,-5.4983e-01,-1.2192e+00,-1.4343e+00,387xta
1687.5000,-1.1577e+00,-5.5475e-01,-1.2301e+00,-1.4472e+00,387xta
1695.0000,-1.1681e+00,-5.5969e-01,-1.2411e+00,-1.4601e+00,387xta
1702.5000,-1.1784e+00,-5.6466e-01,-1.2521e+00,-1.4730e+00,387xta
1710.0000,-1.1888e+00,-5.6964e-01,-1.2631e+00,-1.4860e+00,387xta
1717.5000,-1.1993e+00,-5.7465e-01,-1.2742e+00,-1.4991e+00,387xta
1725.0000,-1.2098e+00,-5.7968e-01,-1.2854e+00,-1.5122e+00,387xta
1732.5000,-1.2203e+00,-5.8473e-01,-1.2966e+00,-1.5254e+00,387xta
1740.0000,-1.2309e+00,-5.8981e-01,-1.3078e+00,-1.5386e+00,387xta
1747.5000,-1.2415e+00,-5.9490e-01,-1.3191e+00,-1.5519e+00,387xta
1755.0000,-1.2522e+00,-6.0002e-01,-1.3305e+00,-1.5653e+00,387xta
1762.5000,-1.2629e+00,-6.0516e-01,-1.3419e+00,-1.5787e+00,387xta
1770.0000,-1.2737e+00,-6.1032e-01,-1.3533e+00,-1.5921e+00,387xta
1777.5000,-1.2845e+00,-6.1550e-01,-1.3648e+00,-1.6057e+00,387xta
1785.0000,-1.2954e+00,-6.2071e-01,-1.3764e+00,-1.6192e+00,387xta
1792.5000,-1.3063e+00,-6.2594e-01,-1.3879e+00,-1.6329e+00,387xta
1800.0000,-1.3173e+00,-6.3118e-01,-1.3996e+00,-1.6466e+00,387xta
1807.5000,-1.3283e+00,-6.3646e-01,-1.4113e+00,-1.6603e+00,387xta
1815.0000,-1.3393e+00,-6.4175e-01,-1.4230e+00,-1.6741e+00,387xta
1822.5000,-1.3504e+00,-6.4706e-01,-1.4348e+00,-1.6880e+00,387xta
1830.0000,-1.3615e+00,-6.5240e-01,-1.4466e+00,-1.7019e+00,387xta
1837.5000,-1.3727e+00,-6.5776e-01,-1.4585e+00,-1.7159e+00,387xta
1845.0000,-1.3839e+00,-6.6314e-01,-1.4704e+00,-1.7299e+00,387xta
1852.5000,-1.3952e+00,-6.6854e-01,-1.4824e+00,-1.7440e+00,387xta
1860.0000,-1.4065e+00,-6.7396e-01,-1.4944e+00,-1.7582e+00,387xta
1867.5000,-1.4179e+00,-6.7941e-01,-1.5065e+00,-1.7724e+00,387xta
1875.0000,-1.4293e+00,-6.8488e-01,-1.5186e+00,-1.7866e+00,387xta
1882.5000,-1.4408e+00,-6.9037e-01,-1.5308e+00,-1.8010e+00,387xta
1890.0000,-1.4523e+00,-6.9588e-01,-1.5430e+00,-1.8153e+00,387xta
1897.5000,-1.4638e+00,-7.0141e-01,-1.5553e+00,-1.8298e+00,387xta
1905.0000,-1.4754e+00,-7.0697e-01,-1.5676e+00,-1.8443e+00,387xta
1912.5000,-1.4871e+00,-7.1255e-01,-1.5800e+00,-1.8588e+00,387xta
1920.0000,-1.4987e+00,-7.1815e-01,-1.5924e+00,-1.8734e+00,387xta
1927.5000,-1.5105e+00,-7.2377e-01,-1.6049e+00,-1.8881e+00,387xta
1935.0000,-1.5223e+00,-7.2941e-01,-1.6174e+00,-1.9028e+00,387xta
1942.5000,-1.5341e+00,-7.3508e-01,-1.6300e+00,-1.9176e+00,387xta
1950.0000,-1.5459e+00,-7.4076e-01,-1.6426e+00,-1.9324e+00,387xta
1957.5000,-1.5579e+00,-7.4647e-01,-1.6552e+00,-1.9473e+00,387xta
1965.0000,-1.5698e+00,-7.5221e-01,-1.6679e+00,-1.9623e+00,387xta
1972.5000,-1.5818e+00,-7.5796e-01,-1.6807e+00,-1.9773e+00,387xta
1980.0000,-1.5939e+00,-7.6373e-01,-1.6935e+00,-1.9923e+00,387xta
1987.5000,-1.6060e+00,-7.6953e-01,-1.7063e+00,-2.0075e+00,387xta
1995.0000,-1.6181e+00,-7.7535e-01,-1.7193e+00,-2.0226e+00,387xta
2002.5000,-1.6303e+00,-7.8119e-01,-1.7322e+00,-2.0379e+00,387xta
2010.0000,-1.6425e+00,-7.8705e-01,-1.7452e+00,-2.0532e+00,387xta
2017.5000,-1.6548e+00,-7.9294e-01,-1.7582e+00,-2.0685e+00,387xta
2025.0000,-1.6671e+00,-7.9884e-01,-1.7713e+00,-2.0839e+00,387xta
2032.5000,-1.6795e+00,-8.0477e-01,-1.7845e+00,-2.0994e+00,387xta
2040.0000,-1.6919e+00,-8.1072e-01,-1.7977e+00,-2.1149e+00,387xta
2047.5000,-1.7044e+00,-8.1669e-01,-1.8109e+00,-2.1305e+00,387xta
2055.0000,-1.7169e+00,-8.2269e-01,-1.8242e+00,-2.1461e+00,387xta
2062.5000,-1.7295e+00,-8.2870e-01,-1.8376e+00,-2.1618e+00,387xta
2070.0000,-1.7421e+00,-8.3474e-01,-1.8509e+00,-2.1776e+00,387xta
2077.5000,-1.7547e+00,-8.4080e-01,-1.8644e+00,-2.1934e+00,387xta
2085.0000,-1.7674e+00,-8.4688e-01,-1.8779e+00,-2.2093e+00,387xta
2092.5000,-1.7801e+00,-8.5299e-01,-1.8914e+00,-2.2252e+00,387xta
