station ID = gr (Granada)
system = VELETA
signal = 355, parallel, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
1035.0000,3.1404e+07,3.0306e+07,3.0892e+07,3.7031e+07,355xpp
1042.5000,3.0615e+07,2.9601e+07,3.0767e+07,3.6479e+07,355xpp
1050.0000,3.1994e+07,3.0070e+07,3.0401e+07,3.7072e+07,355xpp
1057.5000,3.1733e+07,2.9672e+07,3.0122e+07,3.7163e+07,355xpp
1065.0000,3.2362e+07,2.9590e+07,2.9941e+07,3.6936e+07,355xpp
1072.5000,3.1579e+07,2.9404e+07,3.0182e+07,3.6848e+07,355xpp
1080.0000,3.0533e+07,2.9789e+07,3.0376e+07,3.5413e+07,355xpp
1087.5000,3.0074e+07,2.9542e+07,2.9778e+07,3.6510e+07,355xpp
1095.0000,3.1326e+07,2.9271e+07,3.0212e+07,3.6493e+07,355xpp
1102.5000,3.0709e+07,2.9427e+07,2.9815e+07,3.5019e+07,355xpp
1110.0000,3.1391e+07,2.9880e+07,2.9827e+07,3.5578e+07,355xpp
1117.5000,3.1138e+07,2.9417e+07,3.0854e+07,3.6119e+07,355xpp
1125.0000,3.0799e+07,2.8795e+07,3.0651e+07,3.5609e+07,355xpp
1132.5000,3.1022e+07,2.9003e+07,2.9265e+07,3.5912e+07,355xpp
1140.0000,3.2014e+07,2.9399e+07,2.9314e+07,3.5833e+07,355xpp
1147.5000,3.0693e+07,2.9401e+07,2.9952e+07,3.6384e+07,355xpp
1155.0000,3.1131e+07,2.9394e+07,2.9194e+07,3.5969e+07,355xpp
1162.5000,2.9939e+07,2.8619e+07,2.9164e+07,3.5475e+07,355xpp
1170.0000,3.0110e+07,2.9063e+07,2.9963e+07,3.5415e+07,355xpp
1177.5000,3.0427e+07,2.8984e+07,2.8861e+07,3.5682e+07,355xpp
1185.0000,2.9394e+07,2.8884e+07,2.8538e+07,3.5910e+07,355xpp
1192.5000,2.9845e+07,2.9071e+07,2.9351e+07,3.4477e+07,355xpp
1200.0000,3.0353e+07,2.8691e+07,2.9319e+07,3.5395e+07,355xpp
1207.5000,2.9261e+07,2.8907e+07,2.8909e+07,3.4926e+07,355xpp
1215.0000,2.9214e+07,2.9333e+07,2.8939e+07,3.4491e+07,355xpp
1222.5000,3.0543e+07,2.8116e+07,2.8805e+07,3.5719e+07,355xpp
1230.0000,2.9650e+07,2.9200e+07,2.8976e+07,3.5813e+07,355xpp
1237.5000,3.0292e+07,2.9301e+07,2.8975e+07,3.5246e+07,355xpp
1245.0000,2.9154e+07,2.8376e+07,2.9685e+07,3.5107e+07,355xpp
1252.5000,2.8431e+07,2.8338e+07,2.9465e+07,3.5397e+07,355xpp
1260.0000,2.9094e+07,2.8923e+07,2.8799e+07,3.4880e+07,355xpp
1267.5000,2.9320e+07,2.8170e+07,2.9326e+07,3.4587e+07,355xpp
1275.0000,2.9165e+07,2.8493e+07,2.8124e+07,3.4328e+07,355xpp
1282.5000,2.9049e+07,2.8320e+07,2.9286e+07,3.5030e+07,355xpp
1290.0000,2.8828e+07,2.7485e+07,2.9116e+07,3.4266e+07,355xpp
1297.5000,2.9268e+07,2.8121e+07,3.0341e+07,3.4269e+07,355xpp
1305.0000,2.8996e+07,2.6756e+07,2.8586e+07,3.4787e+07,355xpp
1312.5000,2.9171e+07,2.7525e+07,2.8118e+07,3.4010e+07,355xpp
1320.0000,2.9592e+07,2.8037e+07,2.7484e+07,3.4360e+07,355xpp
1327.5000,2.8849e+07,2.8149e+07,2.8017e+07,3.4225e+07,355xpp
1335.0000,2.8635e+07,2.7444e+07,2.7448e+07,3.3168e+07,355xpp
1342.5000,2.9192e+07,2.7164e+07,2.8151e+07,3.4062e+07,355xpp
1350.0000,2.8253e+07,2.8296e+07,2.8117e+07,3.3030e+07,355xpp
1357.5000,2.8959e+07,2.7889e+07,2.7912e+07,3.4646e+07,355xpp
1365.0000,2.9589e+07,2.7203e+07,2.6763e+07,3.4063e+07,355xpp
1372.5000,2.8661e+07,2.6320e+07,2.6833e+07,3.2796e+07,355xpp
1380.0000,2.9165e+07,2.7915e+07,2.7786e+07,3.3132e+07,355xpp
1387.5000,2.7601e+07,2.6927e+07,2.8030e+07,3.2477e+07,355xpp
1395.0000,2.8528e+07,2.6886e+07,2.7869e+07,3.4137e+07,355xpp
1402.5000,2.8528e+07,2.7028e+07,2.8587e+07,3.3230e+07,355xpp
1410.0000,2.8762e+07,2.7201e+07,2.8086e+07,3.2679e+07,355xpp
1417.5000,2.8103e+07,2.6714e+07,2.6869e+07,3.2336e+07,355xpp
1425.0000,2.7977e+07,2.7668e+07,2.6882e+07,3.3025e+07,355xpp
1432.5000,2.7996e+07,2.6828e+07,2.7314e+07,3.1900e+07,355xpp
1440.0000,2.8037e+07,2.7339e+07,2.7910e+07,3.2596e+07,355xpp
1447.5000,2.8264e+07,2.6894e+07,2.7120e+07,3.1791e+07,355xpp
1455.0000,2.6926e+07,2.7419e+07,2.7177e+07,3.2100e+07,355xpp
1462.5000,2.7220e+07,2.6345e+07,2.6829e+07,3.2694e+07,355xpp
1470.0000,2.8144e+07,2.7327e+07,2.7462e+07,3.3139e+07,355xpp
1477.5000,2.7966e+07,2.7067e+07,2.6861e+07,3.2326e+07,355xpp
1485.0000,2.7150e+07,2.6494e+07,2.7793e+07,3.2928e+07,355xpp
1492.5000,2.7887e+07,2.6213e+07,2.6314e+07,3.3515e+07,355xpp
1500.0000,2.7772e+07,2.6367e+07,2.5928e+07,3.2449e+07,355xpp
1507.5000,2.7343e+07,2.5797e+07,2.6584e+07,3.2364e+07,355xpp
1515.0000,2.7144e+07,2.6235e+07,2.6664e+07,3.1892e+07,355xpp
1522.5000,2.7289e+07,2.5414e+07,2.8072e+07,3.3164e+07,355xpp
1530.0000,2.7953e+07,2.5922e+07,2.6860e+07,3.1826e+07,355xpp
1537.5000,2.7542e+07,2.5590e+07,2.6311e+07,3.1036e+07,355xpp
1545.0000,2.7681e+07,2.6746e+07,2.6284e+07,3.2145e+07,355xpp
1552.5000,2.7033e+07,2.6283e+07,2.5105e+07,3.3046e+07,355xpp
1560.0000,2.7912e+07,2.5703e+07,2.6108e+07,3.1193e+07,355xpp
1567.5000,2.6896e+07,2.6260e+07,2.5960e+07,3.1511e+07,355xpp
1575.0000,2.6585e+07,2.6093e+07,2.6939e+07,3.1690e+07,355xpp
1582.5000,2.6029e+07,2.6138e+07,2.5438e+07,3.1641e+07,355xpp
1590.0000,2.8252e+07,2.5716e+07,2.7074e+07,3.2147e+07,355xpp
1597.5000,2.6341e+07,2.5760e+07,2.6932e+07,3.1545e+07,355xpp
1605.0000,2.7577e+07,2.6218e+07,2.6693e+07,3.1013e+07,355xpp
1612.5000,2.7694e+07,2.6206e+07,2.6869e+07,3.1100e+07,355xpp
1620.0000,2.7891e+07,2.5442e+07,2.6800e+07,3.0564e+07,355xpp
1627.5000,2.7066e+07,2.7227e+07,2.4679e+07,2.9939e+07,355xpp
1635.0000,2.7604e+07,2.6425e+07,2.5147e+07,3.1455e+07,355xpp
1642.5000,2.6857e+07,2.6119e+07,2.6116e+07,3.0331e+07,355xpp
1650.0000,2.6811e+07,2.6376e+07,2.5739e+07,3.0456e+07,355xpp
1657.5000,2.6631e+07,2.5537e+07,2.4356e+07,3.1114e+07,355xpp
1665.0000,2.7830e+07,2.4306e+07,2.4446e+07,3.1632e+07,355xpp
1672.5000,2.7101e+07,2.5717e+07,2.5780e+07,3.1025e+07,355xpp
1680.0000,2.6129e+07,2.6016e+07,2.5895e+07,3.1439e+07,355xpp
1687.5000,2.5603e+07,2.5372e+07,2.7429e+07,3.1615e+07,355xpp
1695.0000,2.6480e+07,2.4525e+07,2.5524e+07,3.1919e+07,355xpp
1702.5000,2.5789e+07,2.5865e+07,2.6970e+07,3.0476e+07,355xpp
1710.0000,2.6950e+07,2.6783e+07,2.5560e+07,3.1587e+07,355xpp
1717.5000,2.5471e+07,2.6037e+07,2.5417e+07,3.1722e+07,355xpp
1725.0000,2.5979e+07,2.5346e+07,2.6187e+07,3.0485e+07,355xpp
1732.5000,2.6701e+07,2.5462e+07,2.6344e+07,3.1685e+07,355xpp
1740.0000,2.6145e+07,2.5040e+07,2.5407e+07,2.9620e+07,355xpp
1747.5000,2.6207e+07,2.5085e+07,2.5284e+07,3.1136e+07,355xpp
1755.0000,2.6179e+07,2.4150e+07,2.6103e+07,3.0944e+07,355xpp
1762.5000,2.4860e+07,2.4118e+07,2.5867e+07,3.0522e+07,355xpp
1770.0000,2.6830e+07,2.5970e+07,2.4923e+07,3.1755e+07,355xpp
1777.5000,2.5439e+07,2.5031e+07,2.3872e+07,3.0800e+07,355xpp
1785.0000,2.6157e+07,2.4643e+07,2.6193e+07,2.9845e+07,355xpp
1792.5000,2.5757e+07,2.4171e+07,2.4995e+07,2.9559e+07,355xpp
1800.0000,2.6732e+07,2.4850e+07,2.5450e+07,2.9402e+07,355xpp
1807.5000,2.5454e+07,2.5252e+07,2.5702e+07,3.1618e+07,355xpp
1815.0000,2.5280e+07,2.4939e+07,2.5528e+07,2.9074e+07,355xpp
1822.5000,2.4882e+07,2.4706e+07,2.4569e+07,3.0442e+07,355xpp
1830.0000,2.5719e+07,2.5453e+07,2.5262e+07,2.9597e+07,355xpp
1837.5000,2.5097e+07,2.4946e+07,2.3827e+07,3.0120e+07,355xpp
1845.0000,2.6222e+07,2.4071e+07,2.5059e+07,3.1214e+07,355xpp
1852.5000,2.5352e+07,2.4572e+07,2.5586e+07,2.9576e+07,355xpp
