station ID = gr (Granada)
system = KASCAL
signal = 355, parallel, analog, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
4.0425,3.4496e-06,2.3474e+05
4.0500,3.4445e-06,2.3545e+05
4.0575,3.4393e-06,2.4067e+05
4.0650,3.4342e-06,2.4344e+05
4.0725,3.4291e-06,2.4450e+05
4.0800,3.4240e-06,2.3498e+05
4.0875,3.4189e-06,2.2563e+05
4.0950,3.4138e-06,2.2667e+05
4.1025,3.4087e-06,2.2860e+05
4.1100,3.4036e-06,2.3263e+05
4.1175,3.3986e-06,2.4626e+05
4.1250,3.3935e-06,2.3886e+05
4.1325,3.3885e-06,2.4088e+05
4.1400,3.3834e-06,2.4081e+05
4.1475,3.3784e-06,2.3356e+05
4.1550,3.3734e-06,2.3413e+05
4.1625,3.3684e-06,2.3397e+05
4.1700,3.3634e-06,2.3314e+05
4.1775,3.3584e-06,2.2842e+05
4.1850,3.3534e-06,2.3854e+05
4.1925,3.3484e-06,2.3568e+05
4.2000,3.3434e-06,2.2425e+05
4.2075,3.3385e-06,2.2608e+05
4.2150,3.3335e-06,2.3614e+05
4.2225,3.3286e-06,2.2665e+05
4.2300,3.3236e-06,2.3358e+05
4.2375,3.3187e-06,2.4383e+05
4.2450,3.3138e-06,2.2965e+05
4.2525,3.3089e-06,2.3134e+05
4.2600,3.3040e-06,2.3423e+05
4.2675,3.2991e-06,2.3638e+05
4.2750,3.2942e-06,2.3599e+05
4.2825,3.2894e-06,2.2292e+05
4.2900,3.2845e-06,2.1791e+05
4.2975,3.2796e-06,2.2411e+05
4.3050,3.2748e-06,2.2489e+05
4.3125,3.2699e-06,2.1655e+05
4.3200,3.2651e-06,2.2652e+05
4.3275,3.2603e-06,2.3438e+05
4.3350,3.2555e-06,2.3984e+05
4.3425,3.2507e-06,2.2683e+05
4.3500,3.2459e-06,2.2845e+05
4.3575,3.2411e-06,2.2283e+05
4.3650,3.2363e-06,2.1388e+05
4.3725,3.2315e-06,2.3027e+05
4.3800,3.2268e-06,2.3101e+05
4.3875,3.2220e-06,2.2238e+05
4.3950,3.2173e-06,2.2001e+05
4.4025,3.2125e-06,2.1841e+05
4.4100,3.2078e-06,2.1998e+05
4.4175,3.2031e-06,2.1656e+05
4.4250,3.1984e-06,2.2150e+05
4.4325,3.1937e-06,2.2226e+05
4.4400,3.1890e-06,2.1893e+05
4.4475,3.1843e-06,2.0868e+05
4.4550,3.1796e-06,2.1271e+05
4.4625,3.1749e-06,2.0951e+05
4.4700,3.1702e-06,2.1279e+05
4.4775,3.1656e-06,2.0711e+05
4.4850,3.1609e-06,2.0130e+05
4.4925,3.1563e-06,2.1312e+05
4.5000,3.1517e-06,2.1514e+05
4.5075,3.1470e-06,1.9904e+05
4.5150,3.1424e-06,2.0569e+05
4.5225,3.1378e-06,2.1463e+05
4.5300,3.1332e-06,2.1144e+05
4.5375,3.1286e-06,2.0729e+05
4.5450,3.1240e-06,2.1263e+05
4.5525,3.1195e-06,2.0934e+05
4.5600,3.1149e-06,2.2011e+05
4.5675,3.1103e-06,2.0743e+05
4.5750,3.1058e-06,2.0917e+05
4.5825,3.1012e-06,2.0829e+05
4.5900,3.0967e-06,1.9078e+05
4.5975,3.0922e-06,1.9634e+05
4.6050,3.0876e-06,2.0314e+05
4.6125,3.0831e-06,1.9258e+05
4.6200,3.0786e-06,1.8223e+05
4.6275,3.0741e-06,1.9258e+05
4.6350,3.0696e-06,2.0084e+05
4.6425,3.0651e-06,1.9248e+05
4.6500,3.0607e-06,1.8905e+05
4.6575,3.0562e-06,1.9295e+05
4.6650,3.0517e-06,2.0065e+05
4.6725,3.0473e-06,2.0586e+05
4.6800,3.0428e-06,2.0499e+05
4.6875,3.0384e-06,2.0554e+05
4.6950,3.0340e-06,2.0714e+05
4.7025,3.0295e-06,2.0479e+05
4.7100,3.0251e-06,2.1043e+05
4.7175,3.0207e-06,2.0559e+05
4.7250,3.0163e-06,1.9930e+05
4.7325,3.0119e-06,1.9950e+05
