station ID = gr (Granada)
system = KASCAL
signal = 355, perpendicular, analog, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
1.3950,6.0113e-06,3.1095e+05
1.4025,6.0013e-06,3.0377e+05
1.4100,5.9914e-06,3.0447e+05
1.4175,5.9814e-06,3.0695e+05
1.4250,5.9715e-06,3.0494e+05
1.4325,5.9616e-06,3.0549e+05
1.4400,5.9517e-06,3.0514e+05
1.4475,5.9419e-06,3.0491e+05
1.4550,5.9320e-06,3.0798e+05
1.4625,5.9222e-06,3.0085e+05
1.4700,5.9124e-06,3.0338e+05
1.4775,5.9026e-06,3.0602e+05
1.4850,5.8928e-06,3.0372e+05
1.4925,5.8831e-06,3.0210e+05
1.5000,5.8734e-06,2.9904e+05
1.5075,5.8637e-06,3.0093e+05
1.5150,5.8540e-06,3.0115e+05
1.5225,5.8443e-06,3.0068e+05
1.5300,5.8347e-06,2.9727e+05
1.5375,5.8250e-06,2.9524e+05
1.5450,5.8154e-06,2.9258e+05
1.5525,5.8058e-06,2.9657e+05
1.5600,5.7962e-06,2.9864e+05
1.5675,5.7867e-06,2.9223e+05
1.5750,5.7772e-06,2.9037e+05
1.5825,5.7676e-06,2.9348e+05
1.5900,5.7581e-06,2.9313e+05
1.5975,5.7487e-06,2.9310e+05
1.6050,5.7392e-06,2.9112e+05
1.6125,5.7298e-06,2.9002e+05
1.6200,5.7203e-06,2.9353e+05
1.6275,5.7109e-06,2.9097e+05
1.6350,5.7015e-06,2.8843e+05
1.6425,5.6922e-06,2.8831e+05
1.6500,5.6828e-06,2.8680e+05
1.6575,5.6735e-06,2.8981e+05
1.6650,5.6642e-06,2.8748e+05
1.6725,5.6549e-06,2.8664e+05
1.6800,5.6456e-06,2.9116e+05
1.6875,5.6363e-06,2.8720e+05
1.6950,5.6271e-06,2.8729e+05
1.7025,5.6179e-06,2.8703e+05
1.7100,5.6087e-06,2.8942e+05
1.7175,5.5995e-06,2.8970e+05
1.7250,5.5903e-06,2.8727e+05
1.7325,5.5812e-06,2.8272e+05
1.7400,5.5720e-06,2.9105e+05
1.7475,5.5629e-06,2.8869e+05
1.7550,5.5538e-06,2.8634e+05
1.7625,5.5448e-06,2.9398e+05
1.7700,5.5357e-06,2.9093e+05
1.7775,5.5267e-06,2.9228e+05
1.7850,5.5176e-06,2.9323e+05
1.7925,5.5086e-06,2.9324e+05
1.8000,5.4996e-06,2.9352e+05
1.8075,5.4907e-06,2.8906e+05
1.8150,5.4817e-06,2.9472e+05
1.8225,5.4728e-06,2.9238e+05
1.8300,5.4639e-06,2.9415e+05
1.8375,5.4550e-06,2.9167e+05
1.8450,5.4461e-06,2.9118e+05
1.8525,5.4372e-06,2.9541e+05
1.8600,5.4284e-06,2.9660e+05
1.8675,5.4195e-06,2.9011e+05
1.8750,5.4107e-06,2.9025e+05
1.8825,5.4019e-06,2.9007e+05
1.8900,5.3931e-06,2.8924e+05
1.8975,5.3844e-06,2.8784e+05
1.9050,5.3756e-06,2.8909e+05
1.9125,5.3669e-06,2.8759e+05
1.9200,5.3582e-06,2.9049e+05
1.9275,5.3495e-06,2.9534e+05
1.9350,5.3408e-06,2.8776e+05
1.9425,5.3321e-06,2.8650e+05
1.9500,5.3235e-06,2.9417e+05
1.9575,5.3149e-06,2.9265e+05
1.9650,5.3063e-06,2.8855e+05
1.9725,5.2977e-06,2.8903e+05
1.9800,5.2891e-06,2.8849e+05
1.9875,5.2805e-06,2.9464e+05
1.9950,5.2720e-06,2.8617e+05
2.0025,5.2634e-06,2.8133e+05
2.0100,5.2549e-06,2.8517e+05
2.0175,5.2464e-06,2.8666e+05
